Tangra v3.7.0.5
Measurments of 4 objects
D:\SharpCap Captures\(75975) 2000 CD121\2025-12-04\Light\08_48_48Z_.adv
Asteroidal Video (ADV2.16), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,asi462mm,,7,1383,,ADV,8.0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,3.09,4.78,2.33,yes,141.7,253.0,no
2,GuidingStar,3.09,,2.32,yes,105.9,276.7,no
3,GuidingStar,3.09,,2.37,yes,165.0,142.9,no
4,GuidingStar,3.09,,2.32,yes,365.9,244.6,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3),Signal (4), Background (4)
269,[08:49:04.389],86830,43164,102770,46543,107560,43324,173820,43802
270,[08:49:04.449],84109,44587,104160,43142,103810,44079,167760,46586
271,[08:49:04.508],83958,45804,109210,47210,100280,45664,168770,43701
272,[08:49:04.569],87763,44017,106040,44742,109090,44983,163360,45415
273,[08:49:04.629],85670,45594,102450,46576,93667,44294,151580,44921
274,[08:49:04.689],80057,44648,97668,47899,112880,44796,167140,46254
275,[08:49:04.749],85680,43690,96060,46387,111270,45154,151980,46730
276,[08:49:04.809],80637,45272,115750,44339,96846,44522,149860,42081
277,[08:49:04.869],77278,46396,112970,40929,93479,44068,170660,46801
278,[08:49:04.929],88734,45429,99957,45012,107350,46525,165710,43972
279,[08:49:04.989],76894,45577,94277,43275,108370,47057,166620,48492
280,[08:49:05.049],85811,40187,105670,44241,90318,44199,157870,45212
281,[08:49:05.109],84740,43513,101370,42316,93370,44880,154980,47430
282,[08:49:05.169],89962,46122,101660,45244,113900,46183,151690,47805
283,[08:49:05.229],84595,47628,108920,45773,111750,44478,149390,44995
284,[08:49:05.289],93956,46523,112790,41452,122420,44888,166440,42117
285,[08:49:05.349],82866,48107,118490,45941,101050,44397,159150,45294
286,[08:49:05.409],82740,41807,107360,44321,97815,45228,156600,41058
287,[08:49:05.469],89847,40395,110040,46884,99637,44857,164500,43613
288,[08:49:05.529],90838,44622,112350,45018,99373,46511,169750,44875
289,[08:49:05.589],89181,47500,106400,46050,94232,45672,179340,43915
290,[08:49:05.650],79994,45296,108470,45521,106830,47394,153610,45004
291,[08:49:05.709],84076,44878,92593,44873,91000,46060,153550,45915
292,[08:49:05.769],85840,45673,96295,43230,105900,47589,153470,46581
293,[08:49:05.829],83572,44479,112390,45113,110710,45698,166310,45977
294,[08:49:05.889],96767,40224,115290,39831,98599,40319,151390,46463
295,[08:49:05.949],85745,41562,111380,45305,114870,45275,161620,45675
296,[08:49:06.009],91842,41737,111790,42650,102970,45692,172640,44530
297,[08:49:06.069],102710,41669,98574,45327,94778,46067,160210,45423
298,[08:49:06.130],81598,43594,102490,45545,93495,45525,172370,43409
299,[08:49:06.190],86287,44359,94900,42951,101790,41447,162680,45403
300,[08:49:06.249],87787,44703,118480,45101,99281,42678,184000,42902
301,[08:49:06.309],72219,38100,114630,47241,92555,44262,149120,43481
302,[08:49:06.370],88968,46207,118520,46547,104650,42140,150130,43770
303,[08:49:06.429],87898,46261,103450,46267,117520,40740,171610,43759
304,[08:49:06.489],86538,42745,100870,44541,107240,43508,149410,45743
305,[08:49:06.549],80853,44159,112390,46480,98242,45012,173060,48951
306,[08:49:06.609],79493,46175,112870,44685,99760,44744,176120,44719
307,[08:49:06.669],92275,44327,98254,46170,99284,46363,180050,42052
308,[08:49:06.730],86966,44335,112480,40337,113280,45834,148160,44106
309,[08:49:06.789],82962,43038,105730,42796,114880,45956,156890,43790
310,[08:49:06.849],87779,39973,89952,46400,96464,44532,161210,46357
311,[08:49:06.910],79399,45341,110330,45366,115410,45333,181590,43423
312,[08:49:06.970],85311,44616,115700,43979,106160,45927,153750,44396
313,[08:49:07.030],88141,44897,111420,43648,102960,38900,164070,45010
314,[08:49:07.090],74667,45725,107360,45170,94866,44188,173810,44732
315,[08:49:07.150],98768,44186,114720,44280,96332,45160,166620,44235
316,[08:49:07.210],83193,43231,94512,41531,97794,44233,149700,43783
317,[08:49:07.270],85354,45275,106050,42904,102650,47044,164400,42551
318,[08:49:07.330],89896,46255,100070,47012,86447,44235,158740,44887
319,[08:49:07.389],86166,45030,114100,44538,99693,45440,154840,46177
320,[08:49:07.450],93090,42782,107710,47699,99252,46526,154900,44368
321,[08:49:07.510],79116,46348,107540,44508,100040,45553,158960,44423
322,[08:49:07.570],86824,45967,110870,47268,102710,47441,155450,44970
323,[08:49:07.630],87326,44445,103610,46608,91701,45276,146800,44834
324,[08:49:07.690],79716,40993,114370,43745,94822,44607,159590,45007
325,[08:49:07.750],86835,46058,103300,48197,94461,44788,152350,45799
326,[08:49:07.810],78872,45091,109450,45645,97328,46212,143560,45729
327,[08:49:07.869],98750,45361,100720,44605,112680,47095,173780,44692
328,[08:49:07.929],86675,44498,114530,46027,116340,44365,169670,43017
329,[08:49:07.989],77677,43627,104190,44918,103110,43815,169910,44521
330,[08:49:08.050],87422,46613,124320,44324,107950,45049,170890,45864
331,[08:49:08.110],81879,43940,104090,43155,98960,47283,165390,41644
332,[08:49:08.170],85116,43735,107390,47472,115050,42866,156110,45881
333,[08:49:08.229],78186,43891,94241,46230,102200,44322,167900,45822
334,[08:49:08.289],87129,45481,102730,44948,87856,44481,174160,45620
335,[08:49:08.350],86464,45539,109180,43537,95335,43810,143750,45263
336,[08:49:08.410],79133,47690,109020,47988,87543,45190,159420,44117
337,[08:49:08.470],98396,42934,110830,43297,112510,45356,166660,42896
338,[08:49:08.530],89424,44596,104630,44947,110750,39019,165130,44873
339,[08:49:08.590],87762,47391,95501,43897,100540,43460,181050,46791
340,[08:49:08.650],85712,44638,100270,43664,96330,44370,159460,45117
341,[08:49:08.710],80803,41760,115490,45899,105210,44696,178640,45579
342,[08:49:08.770],84851,47657,110360,44453,95174,45961,170910,44981
343,[08:49:08.832],85904,37745,115460,44891,115340,45978,163940,44930
344,[08:49:08.890],79772,44182,116310,46579,105930,39720,162260,43156
345,[08:49:08.950],89406,44397,112830,47272,104240,44926,157490,42391
346,[08:49:09.010],89902,45197,103220,42855,98537,45284,143450,46811
347,[08:49:09.070],89142,44963,112420,46328,99512,43789,159460,42281
348,[08:49:09.130],88558,44629,100750,47646,107940,43989,154040,42808
349,[08:49:09.190],95040,43758,109460,43147,106880,44762,171180,44976
